name,latitude,longitude
湖滨,30.254558360485238,120.16169951756882
三潭印月,30.24120121974533,120.14065025451553
花港观鱼,30.232509330548584,120.13448183925817
太子湾公园,30.227802140783204,120.13747394706826
雷峰塔,30.233284640279223,120.14422267783534
曲院风荷,30.253412537646696,120.13078890199768
西泠桥,30.25411698633542,120.13397373325283
北山街,30.2613466530637,120.14372293983315
武林夜市,30.263979993513818,120.15489660603458
西湖,30.260901272821844,120.14701717105552
九溪十八涧,30.20531687357239,120.10841553188058
西溪湿地,30.269257446564616,120.06009995961035
西泠印社,30.252496287540048,120.13544661678603
西溪国家湿地公园,30.269257446564616,120.06009995961035
杭州宋城,30.171981593429756,120.09401943679507
灵隐寺,30.243124975439247,120.09657384993929
法喜寺,30.229211855129538,120.09113118965809
小河直街历史文化街区,30.309521717830435,120.1313836147717
拱宸桥(轮渡站),30.292505987868285,120.0551336340158
河坊街,30.2421440846448,120.16477573310141
南宋御街,30.24277212032641,120.1664155812356
宋城,30.171981593429756,120.09401943679507
小河直街,30.309521717830435,120.1313836147717
良渚公园,30.393092367361305,119.9865476608299
千岛湖,29.590082786511502,119.02054962668886
西溪湿地公园,30.269257446564616,120.06009995961035
南浔古镇,30.29569430709416,120.20978712519504
柳浪闻莺,30.24214645030696,120.15140226640908
雷峰夕照,30.234046427210533,120.14412634729933
南屏晚钟,30.23178114698331,120.14446447398606
苏堤春晓,30.244034881388053,120.13404977481149
双峰插云,30.249795511137847,120.11780749214704
平湖秋月,30.254407526348746,120.14146935774973
断桥残雪,30.261202613266658,120.14722974580833
岳王庙,30.254704939695998,120.12968913882851
杭州花圃,30.247883930900407,120.12280600301334
郭庄,30.246219758797505,120.12751772710799
苏堤,30.242951424866128,120.13436666778435
长桥公园,30.235179470713085,120.15057245839894
集贤亭,30.253108733272104,120.15698666044179
净慈寺,30.231220354614784,120.14456580214285
断桥,30.261202613266658,120.14722974580833
雷锋塔,30.253330796585324,120.13844435029148
白堤,30.257678790055973,120.14421761539475
北高峰观景台,30.24773241904411,120.09372473844778
灵顺寺,30.24787241305075,120.09293304229475
飞来峰,30.24083517956762,120.09683231111464
屏风街,30.26950884737866,120.16478347391775
武林码头,30.276625011907498,120.15934467084264
京杭大运河,30.276378728754928,120.15755739870504
拱宸桥,30.320556121207108,120.13473104691003
小河历史文化街,30.319949055797895,120.13325837839982
鼓楼,30.24036291120721,120.16674275977087
清河坊街,30.24244270963485,120.16777968520093
城隍阁,30.23921383131149,120.16025148976424
吴山景区,30.23525965416843,120.16000709375534
药王庙,30.240148455503356,120.16222929902857
十二生肖石,30.237641896412,120.16022654686982
岳庙,30.254333065623584,120.12976034091349
京杭大运河杭州景区,30.329218473287458,120.13301999845534
杭州野生动物世界,30.155878886443936,119.98031534623236
青山湖,30.238055511404042,119.77019504334645
杭州植物园,30.255469466324783,120.11381644969772
良渚国家考古遗址公园,30.393092367361305,119.9865476608299
象山艺术公社,30.153017936506597,120.06609281985835
白塔公园,30.20181542205155,120.13734278876994
三潭映月,30.24120121974533,120.14065025451553
径山寺,30.382250488887447,119.76028562656644
湘湖,30.132891086645717,120.2098135570164
浙江博物馆,30.27932789551076,120.15996227876606
九溪烟树,30.204939923085618,120.10846363985118
胡雪岩故居,30.239611764194823,120.1682312700109
万松书院,30.229168543410534,120.15593456410768
良渚古城遗址公园,30.393092367361305,119.9865476608299
孤山公园,30.25396767859153,120.13775748837377
龙坞茶山,30.291254056006096,119.85369411490048
满觉陇,30.221591784155176,120.12010150973353
云栖竹径,30.19282738108271,120.0848605538525
太子湾,30.227802140783204,120.13747394706826
龙井村,30.22118234993518,120.10063427506003
十里琅珰,30.22041679436371,120.10183283737955
九溪,30.20531687357239,120.10841553188058
乌龟潭,30.233711134929322,120.12865545039445
茅家埠,30.241759151969244,120.12077820917992
临平公园,30.429291536685156,120.28879502145627
阳陂湖公园,30.078942141784413,119.90959323914969
一公园码头,30.25247859379983,120.15633880420881
孤山景区,30.25396767859153,120.13775748837377
杭州博物馆,30.241363068081295,120.16153412634237
杭州寺庙,30.34163239910496,119.50156838588687
花港码头,30.234249829833796,120.13819630130222
净慈禅寺,30.231220354614784,120.14456580214285
香积寺,30.301069405605144,120.14173916377561
杭州植物馆,30.30588030949007,120.27001675598447
杭州动物园,30.21471871488341,120.12819196045471
青山湖水上森林,30.256993523188836,119.7596694825194
浙江省博物馆,30.16194418799868,120.09695013098205
东信和创园,30.22692345641486,120.04092265727317
中国美术学院,30.245389085515832,120.15576069701274
桥西直街,30.318347099126207,120.1338369679392
五柳巷,30.2472581174963,120.17298780747723
十五奎巷,30.239997707485365,120.16662042457784
馒头山社区,30.220617153323385,120.1635147618343
大马弄,30.235820510171894,120.16422962897741
湖滨银泰,30.254737239610158,120.16003354578162
天目里,30.268662687866406,120.09460175152269
径山古道,30.384069490527576,119.7754136292763
湖滨公园,30.25550668211906,120.15706469007473
印象西湖,30.2534510545813,120.1304380479644
庾村,30.226901002222267,119.74353030867425
松月庐,30.356792387569296,119.44807829085295
孤山,30.25399483452564,120.13785975458342
吴山广场,30.241398037516642,120.15883209518968
西湖音乐喷泉,30.25608682967252,120.15608174597317
灵隐飞来峰,30.239395288434487,120.0968664689948
杭州西湖风景名胜区,30.260901272821844,120.14701717105552
六和塔,30.198735579963582,120.12664571751982
钱塘江大桥,30.19329019534067,120.13560500487489
浙江大学,30.304883688073968,120.07730818800641
青芝坞,30.260381524591445,120.11662729239026
南山路,30.23716358197046,120.15183593724845
理公塔,30.242512609310236,120.09954315939852
永福寺,30.291044645169077,120.02634923358137
韬光寺,30.245040708004904,120.0914931191648
西湖国宾馆,30.23843723484814,120.12973061077096
飞来峰景区,30.239395288434487,120.0968664689948
满陇桂雨,30.221634988290845,120.12556131559761
虎跑梦泉,30.212712496166233,120.12472418888909
龙井问茶,30.226249501441732,120.10970382978822
吴山天风,30.24198017546297,120.16000653099246
阮墩环碧,30.24883860312313,120.13679139686333
黄龙吐翠,30.266291577533316,120.13371806251604
玉皇飞云,30.217309711833046,120.14060614317819
宝石流霞,30.26250466772222,120.14135937873759
天竺路,30.23551267567159,120.09756653835564
大运河,30.276378728754928,120.15755739870504
浙江省博物馆(之江馆),30.16194418799868,120.09695013098205
中国丝绸博物馆,30.22521226307621,120.14663809708989
中国茶叶博物馆,30.22194415011424,120.10875666427026
杭州国家版本馆,30.38426626884406,120.01098231803128
西湖博物馆,30.252779159439754,120.13800624196074
中国京杭大运河博物馆,30.3536152237193,120.1318630628948
中国湿地博物馆,30.266430419294082,120.08272247605917
中国伞博物馆,30.318271818767652,120.13294172836932
惠食记·蘭轩,30.273172400954873,120.12587166514106
潮興鱼仔店(胜利河店),30.299722987743042,120.14964638685058
咸亨小厨,30.321930622530427,120.08717469906466
沐屿新集,30.28968110257885,120.03786059481321
曲苑风荷,30.253412537646696,120.13078890199768
虎跑公园,30.209803407481175,120.12534683005033
湖滨步行街,30.2565337675106,120.15824108022366
武林广场,30.27334496459318,120.15861076911672
西湖风景区,30.262120904916816,120.15030342728784
